iter	Passed	Remaining
0	0	449
1	0	383
2	1	355
3	1	315
4	1	302
5	1	294
6	2	287
7	2	283
8	2	279
9	2	275
10	3	273
11	3	269
12	3	267
13	3	266
14	4	266
15	4	264
16	4	263
17	4	262
18	5	261
19	5	261
20	5	263
21	6	268
22	6	269
23	6	268
24	6	267
25	7	268
26	7	268
27	7	268
28	8	267
29	8	267
30	8	267
31	8	267
32	9	267
33	9	266
34	9	265
35	9	264
36	10	264
37	10	264
38	10	263
39	10	263
40	11	262
41	11	257
42	11	257
43	11	257
44	12	257
45	12	256
46	12	255
47	12	255
48	13	256
49	13	257
50	13	256
51	14	256
52	14	255
53	14	254
54	14	252
55	15	253
56	15	252
57	15	253
58	15	253
59	16	253
60	16	253
61	16	252
62	17	253
63	17	252
64	17	252
65	17	252
66	18	251
67	18	250
68	18	251
69	18	252
70	19	253
71	19	253
72	19	253
73	20	252
74	20	252
75	20	251
76	20	251
77	21	251
78	21	250
79	21	249
80	21	249
81	22	249
82	22	249
83	22	248
84	23	248
85	23	248
86	23	248
87	23	247
88	24	247
89	24	246
90	24	246
91	24	245
92	25	245
93	25	245
94	25	244
95	25	244
96	26	243
97	26	243
98	26	243
99	26	242
100	27	242
101	27	241
102	27	241
103	28	241
104	28	241
105	28	240
106	28	240
107	29	240
108	29	240
109	29	240
110	29	239
111	30	239
112	30	239
113	30	239
114	31	238
115	31	238
116	31	238
117	31	238
118	32	238
119	32	238
120	32	238
121	33	237
122	33	237
123	33	236
124	33	236
125	34	236
126	34	236
127	34	235
128	34	235
129	35	235
130	35	235
131	35	235
132	36	234
133	36	234
134	36	234
135	36	234
136	37	234
137	37	233
138	37	233
139	37	233
140	38	233
141	38	232
142	38	232
143	39	232
144	39	231
145	39	231
146	39	230
147	40	231
148	40	231
149	40	230
150	41	230
151	41	230
152	41	229
153	41	229
154	42	229
155	42	229
156	42	228
157	42	228
158	43	228
159	43	227
160	43	227
161	43	227
162	44	227
163	44	226
164	44	226
165	45	226
166	45	225
167	45	225
168	45	225
169	46	224
170	46	224
171	46	223
172	46	223
173	47	223
174	47	223
175	47	222
176	47	222
177	48	222
178	48	221
179	48	221
180	48	221
181	49	220
182	49	220
183	49	220
184	49	219
185	50	219
186	50	219
187	50	219
188	51	219
189	51	219
190	51	219
191	51	218
192	52	218
193	52	217
194	52	217
195	52	217
196	53	216
197	53	216
198	53	216
199	54	216
200	54	216
201	54	215
202	54	215
203	55	215
204	55	215
205	55	214
206	55	214
207	56	214
208	56	214
209	56	213
210	57	213
211	57	213
212	57	213
213	57	212
214	58	212
215	58	211
216	58	211
217	58	211
218	59	210
219	59	210
220	59	210
221	59	210
222	60	209
223	60	209
224	60	209
225	60	208
226	61	208
227	61	208
228	61	208
229	62	208
230	62	207
231	62	207
232	62	207
233	63	206
234	63	206
235	63	206
236	64	206
237	64	206
238	64	205
239	64	205
240	65	205
241	65	205
242	65	204
243	66	204
244	66	204
245	66	204
246	66	203
247	67	203
248	67	203
249	67	202
250	67	202
251	68	202
252	68	202
253	68	201
254	68	201
255	69	201
256	69	200
257	69	200
258	69	200
259	70	199
260	70	199
261	70	199
262	71	199
263	71	198
264	71	198
265	71	198
266	72	197
267	72	197
268	72	197
269	72	196
270	73	196
271	73	196
272	73	196
273	73	195
274	74	195
275	74	195
276	74	195
277	74	194
278	75	194
279	75	194
280	75	193
281	76	193
282	76	193
283	76	192
284	76	192
285	77	192
286	77	192
287	77	192
288	78	192
289	78	191
290	78	191
291	78	191
292	79	190
293	79	190
294	79	190
295	79	189
296	80	189
297	80	189
298	80	188
299	80	188
300	81	188
301	81	188
302	81	187
303	81	187
304	82	187
305	82	187
306	82	186
307	82	186
308	83	186
309	83	186
310	83	185
311	84	185
312	84	185
313	84	184
314	84	184
315	85	184
316	85	184
317	85	183
318	85	183
319	86	183
320	86	182
321	86	182
322	86	182
323	87	182
324	87	181
325	87	181
326	88	181
327	88	180
328	88	180
329	88	180
330	88	179
331	89	179
332	89	179
333	89	178
334	89	178
335	90	178
336	90	178
337	90	177
338	91	177
339	91	177
340	91	177
341	91	176
342	92	176
343	92	176
344	92	176
345	92	175
346	93	175
347	93	175
348	93	175
349	94	174
350	94	174
351	94	174
352	94	173
353	95	173
354	95	173
355	95	173
356	95	172
357	96	172
358	96	172
359	96	171
360	96	171
361	97	171
362	97	170
363	97	170
364	97	170
365	98	170
366	98	169
367	98	169
368	99	169
369	99	169
370	99	168
371	99	168
372	100	168
373	100	168
374	100	167
375	100	167
376	101	166
377	101	166
378	101	166
379	101	166
380	102	166
381	102	165
382	102	165
383	103	165
384	103	165
385	103	164
386	103	164
387	104	164
388	104	163
389	104	163
390	105	163
391	105	163
392	105	163
393	105	162
394	106	162
395	106	162
396	106	161
397	106	161
398	107	161
399	107	161
400	107	160
401	108	160
402	108	160
403	108	160
404	108	159
405	108	159
406	109	159
407	109	158
408	109	158
409	109	158
410	110	157
411	110	157
412	110	157
413	111	157
414	111	156
415	111	156
416	111	156
417	112	156
418	112	155
419	112	155
420	112	155
421	113	154
422	113	154
423	113	154
424	113	154
425	114	153
426	114	153
427	114	153
428	114	152
429	115	152
430	115	152
431	115	152
432	115	151
433	116	151
434	116	151
435	116	150
436	116	150
437	117	150
438	117	150
439	117	149
440	117	149
441	118	149
442	118	149
443	118	148
444	119	148
445	119	148
446	119	148
447	119	147
448	120	147
449	120	147
450	120	147
451	121	146
452	121	146
453	121	146
454	121	146
455	122	145
456	122	145
457	122	145
458	123	145
459	123	144
460	123	144
461	123	144
462	124	143
463	124	143
464	124	143
465	124	143
466	125	142
467	125	142
468	126	143
469	127	143
470	127	143
471	127	142
472	127	142
473	128	142
474	128	141
475	128	141
476	128	141
477	129	141
478	129	140
479	129	140
480	129	140
481	130	139
482	130	139
483	130	139
484	130	138
485	131	138
486	131	138
487	131	138
488	131	137
489	132	137
490	132	137
491	132	137
492	133	136
493	133	136
494	133	136
495	133	136
496	134	135
497	134	135
498	134	135
499	134	134
500	135	134
501	135	134
502	135	134
503	135	133
504	136	133
505	136	133
506	136	132
507	137	132
508	137	132
509	137	132
510	137	131
511	138	131
512	138	131
513	138	131
514	138	130
515	139	130
516	139	130
517	139	130
518	140	129
519	140	129
520	140	129
521	140	128
522	141	128
523	141	128
524	141	128
525	141	127
526	142	127
527	142	127
528	142	127
529	142	126
530	143	126
531	143	126
532	143	125
533	143	125
534	144	125
535	144	125
536	144	124
537	145	124
538	145	124
539	145	123
540	145	123
541	146	123
542	146	123
543	146	122
544	146	122
545	147	122
546	147	122
547	147	121
548	148	121
549	148	121
550	148	121
551	148	120
552	149	120
553	149	120
554	149	120
555	150	119
556	150	119
557	150	119
558	150	118
559	151	118
560	151	118
561	151	118
562	151	117
563	152	117
564	152	117
565	152	117
566	152	116
567	153	116
568	153	116
569	153	116
570	154	115
571	154	115
572	154	115
573	154	114
574	155	114
575	155	114
576	155	114
577	155	113
578	156	113
579	156	113
580	156	112
581	156	112
582	157	112
583	157	112
584	157	111
585	158	111
586	158	111
587	158	111
588	158	110
589	159	110
590	159	110
591	159	109
592	159	109
593	160	109
594	160	109
595	160	108
596	160	108
597	161	108
598	161	108
599	161	107
600	161	107
601	162	107
602	162	106
603	162	106
604	162	106
605	163	106
606	163	105
607	163	105
608	163	105
609	164	104
610	164	104
611	164	104
612	164	104
613	165	103
614	165	103
615	165	103
616	165	103
617	166	102
618	166	102
619	166	102
620	166	101
621	167	101
622	167	101
623	167	101
624	168	100
625	168	100
626	168	100
627	168	100
628	169	99
629	169	99
630	169	99
631	170	98
632	170	98
633	170	98
634	170	98
635	171	97
636	171	97
637	171	97
638	171	97
639	172	96
640	172	96
641	172	96
642	172	95
643	173	95
644	173	95
645	173	95
646	173	94
647	174	94
648	174	94
649	174	94
650	174	93
651	175	93
652	175	93
653	175	92
654	176	92
655	176	92
656	176	92
657	176	91
658	177	91
659	177	91
660	177	91
661	177	90
662	178	90
663	178	90
664	178	89
665	178	89
666	179	89
667	179	89
668	179	88
669	179	88
670	180	88
671	180	88
672	180	87
673	180	87
674	181	87
675	181	86
676	181	86
677	181	86
678	182	86
679	182	85
680	182	85
681	183	85
682	183	85
683	183	84
684	183	84
685	184	84
686	184	83
687	184	83
688	184	83
689	185	83
690	185	82
691	185	82
692	185	82
693	186	82
694	186	81
695	186	81
696	186	81
697	187	80
698	187	80
699	187	80
700	187	80
701	188	79
702	188	79
703	188	79
704	189	79
705	189	78
706	189	78
707	189	78
708	190	78
709	190	77
710	190	77
711	191	77
712	191	76
713	191	76
714	191	76
715	192	76
716	192	75
717	192	75
718	192	75
719	193	75
720	193	74
721	193	74
722	193	74
723	194	74
724	194	73
725	194	73
726	194	73
727	195	72
728	195	72
729	195	72
730	195	72
731	196	71
732	196	71
733	196	71
734	197	71
735	197	70
736	197	70
737	197	70
738	197	69
739	198	69
740	198	69
741	198	69
742	199	68
743	199	68
744	199	68
745	199	68
746	200	67
747	200	67
748	200	67
749	200	66
750	201	66
751	201	66
752	201	66
753	201	65
754	202	65
755	202	65
756	202	65
757	202	64
758	203	64
759	203	64
760	203	63
761	203	63
762	204	63
763	204	63
764	204	62
765	205	62
766	205	62
767	205	62
768	205	61
769	206	61
770	206	61
771	206	61
772	206	60
773	207	60
774	207	60
775	207	59
776	207	59
777	208	59
778	208	59
779	208	58
780	209	58
781	209	58
782	209	58
783	209	57
784	210	57
785	210	57
786	210	57
787	210	56
788	211	56
789	211	56
790	211	55
791	211	55
792	212	55
793	212	55
794	212	54
795	213	54
796	213	54
797	213	54
798	213	53
799	214	53
800	214	53
801	214	52
802	214	52
803	215	52
804	215	52
805	215	51
806	215	51
807	216	51
808	216	51
809	216	50
810	216	50
811	217	50
812	217	49
813	217	49
814	217	49
815	218	49
816	218	48
817	218	48
818	218	48
819	219	48
820	219	47
821	219	47
822	219	47
823	220	47
824	220	46
825	220	46
826	220	46
827	221	45
828	221	45
829	221	45
830	221	45
831	222	44
832	222	44
833	222	44
834	223	44
835	223	43
836	223	43
837	223	43
838	224	43
839	224	42
840	224	42
841	224	42
842	225	41
843	225	41
844	225	41
845	225	41
846	226	40
847	226	40
848	226	40
849	226	40
850	227	39
851	227	39
852	227	39
853	227	38
854	228	38
855	228	38
856	228	38
857	228	37
858	229	37
859	229	37
860	229	37
861	230	36
862	230	36
863	230	36
864	230	36
865	231	35
866	231	35
867	231	35
868	232	34
869	232	34
870	232	34
871	232	34
872	233	33
873	233	33
874	233	33
875	233	33
876	234	32
877	234	32
878	234	32
879	234	32
880	235	31
881	235	31
882	235	31
883	236	30
884	236	30
885	236	30
886	236	30
887	237	29
888	237	29
889	237	29
890	237	29
891	238	28
892	238	28
893	238	28
894	239	28
895	239	27
896	239	27
897	239	27
898	239	26
899	240	26
900	240	26
901	240	26
902	241	25
903	241	25
904	241	25
905	241	25
906	242	24
907	242	24
908	242	24
909	242	24
910	243	23
911	243	23
912	243	23
913	243	22
914	244	22
915	244	22
916	244	22
917	244	21
918	245	21
919	245	21
920	245	21
921	246	20
922	246	20
923	246	20
924	246	20
925	247	19
926	247	19
927	247	19
928	248	18
929	248	18
930	248	18
931	248	18
932	249	17
933	249	17
934	249	17
935	249	17
936	250	16
937	250	16
938	250	16
939	250	16
940	251	15
941	251	15
942	251	15
943	252	14
944	252	14
945	252	14
946	252	14
947	253	13
948	253	13
949	253	13
950	253	13
951	254	12
952	254	12
953	254	12
954	254	12
955	255	11
956	255	11
957	255	11
958	255	10
959	256	10
960	256	10
961	256	10
962	257	9
963	257	9
964	257	9
965	257	9
966	258	8
967	258	8
968	258	8
969	258	8
970	259	7
971	259	7
972	259	7
973	260	6
974	260	6
975	260	6
976	260	6
977	261	5
978	261	5
979	261	5
980	261	5
981	262	4
982	262	4
983	262	4
984	262	4
985	263	3
986	263	3
987	263	3
988	263	2
989	264	2
990	264	2
991	264	2
992	265	1
993	265	1
994	265	1
995	265	1
996	266	0
997	266	0
998	266	0
999	266	0
